LocCurrency,PortNumber,AccNumber,LocNumber,GeogName1,AreaName1,Latitude,Longitude,CountryCode,ConstructionCode,OccupancyCode,YearBuilt,YearUpgraded,NumberOfStoreys,NumberOfBuildings,LocPerilsCovered,BuildingTIV
n/a,1,146,10471,Pedro Brand,Santo Domingo,18.56477,-70.03498,DR,5150,1050,1900,1900,2,106,QEQ,3297024
n/a,1,146,10470,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5050,1050,1900,1900,1,2,QEQ,34560
n/a,1,146,10469,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5050,1050,1900,1900,1,1338,QEQ,23120640
n/a,1,146,10468,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5050,1050,1900,1900,2,394,QEQ,10212480
n/a,1,146,10467,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5050,1050,1900,1900,2,708,QEQ,18351360
n/a,1,146,10466,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5050,1050,1900,1900,1,1335,QEQ,23068800
n/a,1,146,10465,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5050,1050,1900,1900,1,82,QEQ,1416960
n/a,1,146,10464,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5000,1050,1900,1900,1,362,QEQ,6255360
n/a,1,146,10463,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5105,1050,1900,1900,2,827,QEQ,21435840
n/a,1,146,10462,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5105,1050,1900,1900,1,1088,QEQ,18800640
n/a,1,146,10461,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5105,1050,1900,1900,3,68,QEQ,18960249.6
n/a,1,146,10460,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5105,1050,1900,1900,2,151,QEQ,37704096
n/a,1,146,10459,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5105,1050,1900,1900,1,130,QEQ,18033600
n/a,1,146,10458,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5105,1050,1900,1900,3,167,QEQ,22045261.52
n/a,1,146,10457,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5105,1050,1900,1900,2,676,QEQ,79913826.72
n/a,1,146,10456,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5105,1050,1900,1900,1,576,QEQ,20736000
n/a,1,146,10455,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5109,1050,1900,1900,3,34,QEQ,9480124.8
n/a,1,146,10454,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5109,1050,1900,1900,2,56,QEQ,13982976
n/a,1,146,10453,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5109,1050,1900,1900,1,73,QEQ,10126560
n/a,1,146,10452,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5109,1050,1900,1900,3,76,QEQ,10032574.1
n/a,1,146,10451,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5109,1050,1900,1900,2,282,QEQ,33336833.04
n/a,1,146,10450,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5109,1050,1900,1900,1,364,QEQ,23905845.6
n/a,1,146,10449,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5150,1050,1900,1900,2,246,QEQ,7651584
n/a,1,146,10448,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5150,1050,1900,1900,1,295,QEQ,5097600
n/a,1,146,10447,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5150,1050,1900,1900,5,1,QEQ,1734000
n/a,1,146,10446,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5150,1050,1900,1900,4,1,QEQ,1387200
n/a,1,146,10445,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5150,1050,1900,1900,3,114,QEQ,31786300.8
n/a,1,146,10444,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5150,1050,1900,1900,2,238,QEQ,59427648
n/a,1,146,10443,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5150,1050,1900,1900,5,2,QEQ,432000
n/a,1,146,10442,Pedro Brand,Santo Domingo,18.57469,-70.11158,DR,5150,1050,1900,1900,4,2,QEQ,345600
n/a,1,146,10195,Santo Domingo Norte,Santo Domingo,18.63157,-69.88059,DR,5150,1050,1900,1900,2,153,QEQ,4758912
n/a,1,146,10194,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5050,1050,1900,1900,1,136,QEQ,2350080
n/a,1,146,10193,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5050,1050,1900,1900,1,7774,QEQ,134334720
n/a,1,146,10192,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5050,1050,1900,1900,2,2342,QEQ,60704640
n/a,1,146,10191,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5050,1050,1900,1900,2,4026,QEQ,104353920
n/a,1,146,10190,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5050,1050,1900,1900,1,7397,QEQ,127820160
n/a,1,146,10189,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5050,1050,1900,1900,1,485,QEQ,8380800
n/a,1,146,10188,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5000,1050,1900,1900,1,3528,QEQ,60963840
n/a,1,146,10187,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5105,1050,1900,1900,2,10167,QEQ,263528640
n/a,1,146,10186,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5105,1050,1900,1900,1,14276,QEQ,246689280
n/a,1,146,10185,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5105,1050,1900,1900,3,875,QEQ,243973800
n/a,1,146,10184,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5105,1050,1900,1900,2,2211,QEQ,552077856
n/a,1,146,10183,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5105,1050,1900,1900,1,1785,QEQ,247615200
n/a,1,146,10182,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5105,1050,1900,1900,3,2185,QEQ,288436505.5
n/a,1,146,10181,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5105,1050,1900,1900,2,9751,QEQ,1152721486
n/a,1,146,10180,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5105,1050,1900,1900,1,7242,QEQ,260712000
n/a,1,146,10179,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5109,1050,1900,1900,3,437,QEQ,121847486.4
n/a,1,146,10178,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5109,1050,1900,1900,2,748,QEQ,186772608
n/a,1,146,10177,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5109,1050,1900,1900,1,907,QEQ,125819040
n/a,1,146,10176,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5109,1050,1900,1900,3,874,QEQ,115374602.2
n/a,1,146,10175,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5109,1050,1900,1900,2,3740,QEQ,442126792.8
n/a,1,146,10174,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5109,1050,1900,1900,1,4536,QEQ,297903614.4
n/a,1,146,10173,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5150,1050,1900,1900,2,3676,QEQ,114338304
n/a,1,146,10172,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5150,1050,1900,1900,1,4411,QEQ,76222080
n/a,1,146,10171,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5150,1050,1900,1900,6,74,QEQ,153979200
n/a,1,146,10170,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5150,1050,1900,1900,5,89,QEQ,154326000
n/a,1,146,10169,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5150,1050,1900,1900,4,111,QEQ,153979200
n/a,1,146,10168,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5150,1050,1900,1900,3,1664,QEQ,463968460.8
n/a,1,146,10167,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5150,1050,1900,1900,2,3658,QEQ,913387968
n/a,1,146,10166,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5150,1050,1900,1900,5,148,QEQ,31968000
n/a,1,146,10165,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5150,1050,1900,1900,4,186,QEQ,32140800
n/a,1,146,10164,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5150,1050,1900,1900,3,1664,QEQ,57795379.2
n/a,1,146,10163,Santo Domingo Norte,Santo Domingo,18.58267,-69.95324,DR,5150,1050,1900,1900,2,3677,QEQ,114369408
n/a,1,146,10159,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5050,1050,1900,1900,1,27,QEQ,466560
n/a,1,146,10158,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5050,1050,1900,1900,1,3884,QEQ,67115520
n/a,1,146,10157,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5050,1050,1900,1900,2,1138,QEQ,29496960
n/a,1,146,10156,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5050,1050,1900,1900,2,1885,QEQ,48859200
n/a,1,146,10155,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5050,1050,1900,1900,1,3407,QEQ,58872960
n/a,1,146,10154,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5050,1050,1900,1900,1,70,QEQ,1209600
n/a,1,146,10153,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5000,1050,1900,1900,1,1009,QEQ,17435520
n/a,1,146,10152,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5105,1050,1900,1900,2,8888,QEQ,230376960
n/a,1,146,10151,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5105,1050,1900,1900,1,11914,QEQ,205873920
n/a,1,146,10150,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5105,1050,1900,1900,3,730,QEQ,203543856
n/a,1,146,10149,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5105,1050,1900,1900,2,1736,QEQ,433472256
n/a,1,146,10148,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5105,1050,1900,1900,1,1461,QEQ,202669920
n/a,1,146,10147,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5105,1050,1900,1900,3,1722,QEQ,227317008
n/a,1,146,10146,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5105,1050,1900,1900,2,7789,QEQ,920782243.1
n/a,1,146,10145,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5105,1050,1900,1900,1,6304,QEQ,226944000
n/a,1,146,10144,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5109,1050,1900,1900,3,363,QEQ,101214273.6
n/a,1,146,10143,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5109,1050,1900,1900,2,627,QEQ,156559392
n/a,1,146,10142,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5109,1050,1900,1900,1,796,QEQ,110421120
n/a,1,146,10141,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5109,1050,1900,1900,3,694,QEQ,91613242.48
n/a,1,146,10140,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5109,1050,1900,1900,2,3135,QEQ,370606282.2
