type, summary_id,period_no,event_id,mean,standard_deviation,exposure_value,occ_year,occ_month,occ_day
2,1,114,5332,18073.12,57152.24,14354167.00,114,3,4
2,1,2125,5142,6783.17,21450.26,14354167.00,2125,10,5
1,1,4553,5219,47207.26,0.00,14354167.00,4553,2,1
2,1,4553,5219,87636.05,201139.69,14354167.00,4553,2,1
2,1,2854,2673,15408.65,32492.16,14354167.00,2854,2,4
2,1,2300,5337,56220.37,177784.42,14354167.00,2300,8,20
2,1,2073,5322,52697.25,166643.34,14354167.00,2073,11,7
1,1,1191,2686,1215507.62,0.00,14354167.00,1191,7,19
2,1,1191,2686,605490.38,769222.12,14354167.00,1191,7,19
1,1,2728,2647,1475723.75,0.00,14354167.00,2728,6,22
2,1,2728,2647,1334159.62,1102449.12,14354167.00,2728,6,22
1,1,2077,2699,657.45,0.00,14354167.00,2077,6,13
2,1,2077,2699,120509.19,299602.84,14354167.00,2077,6,13
1,1,3506,2450,525654.12,0.00,14354167.00,3506,12,9
2,1,3506,2450,435005.09,1078897.38,14354167.00,3506,12,9
1,1,2412,2402,990688.44,0.00,14354167.00,2412,7,3
2,1,2412,2402,593436.56,546184.62,14354167.00,2412,7,3
2,1,4949,3402,2378.89,7522.70,14354167.00,4949,8,28
1,1,1100,1605,1563997.38,0.00,14354167.00,1100,4,9
2,1,1100,1605,955603.62,803912.50,14354167.00,1100,4,9
2,1,835,5249,101440.23,158396.67,14354167.00,835,12,27
1,1,436,5258,91410.79,0.00,14354167.00,436,6,7
2,1,436,5258,51615.54,97025.23,14354167.00,436,6,7
1,1,4170,2438,1805734.50,0.00,14354167.00,4170,2,20
2,1,4170,2438,1592176.12,1516028.38,14354167.00,4170,2,20
2,1,2993,5212,4707.00,14884.85,14354167.00,2993,12,23
2,1,626,2493,18845.09,37352.18,14354167.00,626,2,25
2,1,3187,1656,3698.16,11694.60,14354167.00,3187,4,28
1,1,3363,2661,1606937.88,0.00,14354167.00,3363,12,4
2,1,3363,2661,1177145.62,1163067.25,14354167.00,3363,12,4
1,1,4969,2646,1666689.75,0.00,14354167.00,4969,3,9
2,1,4969,2646,1464196.88,708678.19,14354167.00,4969,3,9
1,1,1828,2410,3533527.25,0.00,14354167.00,1828,5,2
2,1,1828,2410,2591213.50,1774105.62,14354167.00,1828,5,2
2,1,3300,1636,7810.92,22860.94,14354167.00,3300,2,25
1,1,46,2312,258985.67,0.00,14354167.00,46,10,22
2,1,46,2312,148287.31,219035.05,14354167.00,46,10,22
1,1,3719,2683,729241.12,0.00,14354167.00,3719,6,21
2,1,3719,2683,662384.50,718676.44,14354167.00,3719,6,21
1,1,1650,5218,33343.84,0.00,14354167.00,1650,10,7
2,1,1650,5218,78999.39,145829.30,14354167.00,1650,10,7
1,1,1599,5221,931225.44,0.00,14354167.00,1599,11,10
2,1,1599,5221,773770.06,763934.62,14354167.00,1599,11,10
2,1,2483,2461,949.81,3003.57,14354167.00,2483,10,1
2,1,4238,1602,13471.78,25200.63,14354167.00,4238,5,27
1,1,793,2481,1137834.75,0.00,14354167.00,793,6,28
2,1,793,2481,1933523.62,2576000.00,14354167.00,793,6,28
2,1,2647,1629,12306.17,38915.52,14354167.00,2647,4,28
1,1,4959,2435,4403261.00,0.00,14354167.00,4959,1,7
2,1,4959,2435,2882439.75,1757920.62,14354167.00,4959,1,7
2,1,4458,3120,14836.64,46917.56,14354167.00,4458,11,25
2,1,2127,1783,18697.25,59125.91,14354167.00,2127,1,28
1,1,4966,2403,663649.19,0.00,14354167.00,4966,4,21
2,1,4966,2403,599384.12,557002.00,14354167.00,4966,4,21
1,1,2976,2685,334556.38,0.00,14354167.00,2976,4,11
2,1,2976,2685,845841.50,956503.19,14354167.00,2976,4,11
2,1,2876,5155,49906.25,88314.10,14354167.00,2876,1,29
1,1,2572,5240,351757.09,0.00,14354167.00,2572,5,17
2,1,2572,5240,144804.59,338950.03,14354167.00,2572,5,17
1,1,1969,2404,732543.56,0.00,14354167.00,1969,12,27
2,1,1969,2404,874326.50,1151013.62,14354167.00,1969,12,27
1,1,3701,2407,1458633.12,0.00,14354167.00,3701,8,26
2,1,3701,2407,1119874.50,1447521.00,14354167.00,3701,8,26
1,1,4373,2316,4330963.50,0.00,14354167.00,4373,3,15
2,1,4373,2316,4093513.25,2361790.00,14354167.00,4373,3,15
1,1,2288,2400,1035314.50,0.00,14354167.00,2288,5,29
